comment,label
좌배 까는건 ㅇㅂ,0
 개소리야 니가 빨갱이를 옹호하고 드루킹을 ㅇㅇ짓이라고 말못해서 삐진거야 빨갱아,0
애새끼가 초딩도 아니고 ㅋㅋㅋㅋ ,0
731부대의 후예라 그런지 가학적인 아이디어는 세계최고임 이래서 애교만 떨어도 돈 벌리는 한국에 기를 써서 진출하려고 하지조센남자들은 또 이쁜여자만 보면 사족을 못쓰며 공주대접해주는 놈들이니,0
재앙이한건햇노,2
글쓴이 와꾸 승리에 비하면 방사능 피폭 원숭이 일듯..,0
마 씨발련 아 몇평이고 맷개드갔노 니 대하이햄하고 해밨나,0
꽃다발사들고 알바하는곳찾아가서 무릎꿇고 '내 마음을 받아줄래 지영아?' 하면 바로 넘어온다 여자들 이런거 존나좋아함,0
박근혜 안빠는데  보수통합 3원칙 인정함 ,0
대가리에 필터없는 연봉 30억 강사vs대가리가 없는 용접공,0
뭐저런 골빈 ㄴ이 다있냐 ㅋㅋㅋ 저런게 학원강사라고? 애들이 불쌍,0
정신병자 천국이구나,0
깍새들이 시발 존나강요하더라,0
리뷰쓴 새끼가 쓰레기 맞지저건 ㅋㅋㅋ 존나 악랄하게 사진찍어 올리는데,0
틀딱 씨발새끼들아 다꺼져라 냄새나니까,0
 내가 세금 안내면 너 같은 동사무소에서 프린트나 하는 새끼는 월급 못받고 굶어 뒈져야 돼 병신새끼야.,0
원래 수준이 그래,0
전에 제주도 여행 갔는데 폭포 앞에 사진 잘나오는 포토존에서 사진 찍는거 기다렸는데 앞의 6명의 짱게이 때문에 짜증남먼저 6명 각자 한장씩 찍음다음 번갈아 가면서 둘이나  셋이서 짝 지어서 찍음 정말 끝나서 싶어 찍을려고 하니 그  6명이 다 모여서 포즈 바꿔가면서 또 사진 찍음이지랄 하고 있음,0
짱깨들 말하는 거임? 짱깨국이 무상의료라고?,0
빡대가리들에게 방법을 가르쳐주시면 ㅠㅜ,0
시발 정작 지네들 자식은 몸쓰는일 안시킬거면서 개지랄떠네 ㅋㅋㅋ,0
 니들 틀딱들 닭빨고 진빨고 중국빨고 그때그때 빠는새끼들임 닭이 친중하면 중국도 빨고 오성홍기절하고 아님? 억울하면 논리적으로 반박을 해 ㅋ,0
꼴리지는 않고 그냥 존나 귀엽다 ,0
크로캅이 본야스키 개털던거 생각나네 ㅋㅋㅋㅋㅋㅋ진짜 개잡듯 잡아팼지 ㅋㅋㅋㅋ전직 은행원 본야스키 ㅋ,0
그러니깐 딜도로 쑤셔박아야한다는거지?,0
그래서 씨발롬아 PC가 나쁘다는 거야 좋다는 거야?,0
미쳤나 진짜 시발,0
진짜 몇시간씩 할 정도면 히로뽕맞고 하는거일수도있다경교대있을때 뽕쟁이 재소자 의무실간다고 계호할때인데 내보고 히로뽕하는게 단순하게 기분 좋은것보다 목적이 ㅅㅅ라던데비아그라보다 효과 좋단다 ㅋㅋㅋ,0
질렀으면 끝을 봐야지 ㅆㅂ 만나자해서 이야기해라 머리채 잡고 내가 너 좋와하면 안되냐 그담 허리띠를 풀고....,0
앞머리 좀 자르던가 ㅅㅂ ,0
그때 조언했으면 멱살부터 잡을놈이ㅋㅋ,0
대구경북 당선조건 : 매국노,2
개찐따 답네 ㅋㅋㅋㅋㅋㅋ,0
노가다 다니기 싫으면 노력해서 살지 그랬냐 틀딱들아 ㅋㅋ니들 어릴적 꿈이 용접사였냐?상황이 ㅎㅌㅊ가 되니까 그나마 할만한 용접이나 한거고 하다보니 돈도 되고 존나 힘든데 보람도 느끼니까 사람된것처럼 느끼나 본데노가다는 노가다임 주제를 알고 살자,0
와 석유 나는 나라의 위엄이 바로 저런거로구나. 근데 저런 선진국이 될수 있는 나라가 일부 새끼들이 그 부를 독점하려고 차도르 씌우고 전쟁광 놀음 하고 있는거잖여 ,0
ㅂㄷㅂㄷ ㅋㅋㅋㅋㅋ 중국 욕하니 ㅂㄷㅂㄷ 하죠 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
정치인위에 문재앙 ,0
무게치는거에 인생버린새끼들,0
